牌号,年份,轮次,选手码,关卡外号,评语1,评语作者1,评语2,评语作者2
R,2013,Q2,4A,猫迷宫,首先打开关卡我震惊了！又见马奥里神关！我狂喜地开始玩，然后才发现这关简直复杂得很那！,祝贺高考成功,每次马奥里的关卡都能给我惊喜，不知道这次有什么好玩的呢？\n很好，这次的关卡很强大！寻找绿果之路，无伤绿果之路，一个个都很强大！火棍也很有意思，很不错！,123568024
B,2014,Q2,3B,心慌方,那么今年四分之一决赛第二轮呢蓝也是做了一个迷宫关，玩过以后感觉探索性非常的强，而且这关融入了很多彩蛋，运用了最近发明的85号砖块和“闪瞎眼”砖块，创新十足，探索性也非常强，实属迷宫关的精品！,马里奥奥里马,,
S1,2013,Q2,3B,,"玛丽的死对头这关有一种简直的感觉...我真的必须说,玩这关你必须开音响,而且音乐必须全部换回MW本身自带的BGM,这一关的背景音乐是MAP2,原来对MAP2这首真没什么感觉,但是这一次玩了这关以后,我真的只能说这关...配上MAP2的背景音乐,太有气势!!!这是我见过的最强大气势型关卡!!Map2的背景音乐本身就很有气势,然后再配上这关的结构,那样的气势真的可以秒杀一切,所有的敌人在这关的气势面前都会化成泡影,太可怕了这关...所以我必须给这关打上宇宙超级无敌大好评!!",Fahlee,,
S2,2019,S,B,,本关整体多路线设计的各种解法其实是非常不错的，无处不体现出作者强大的设计功底。,s小s飞s侠s,,
S3,2019,G4,B3,,只有lz这关让我玩起来颇觉惊艳，甚至最后看到通关方式后大呼卧槽。,Fahlee,,
S4,2019,G4,B2,渡桥,在WLSW4-1，移动桥是单向传送带；在这关，借助回头标记，移动桥成了左右晃动的海盗船。,nmnmoooh,,
S5,2017,G2,B1,,尽管尺寸受限，但关卡各处设计精良，无不展现着作者高超的设计水平。各处设计恰到好处，两处场景相似，在解谜中又能给人合理的提示。,123568024,,
S6,2016,P1,9,,这关是一个流程较长的关，但是却十分有意思，做得很有探索性，有一定的解谜成分。,马里奥奥里马,,
S7,2019,G1,B1,,非常强大，整个关都是围绕着硬壳龟的使用，还有空间的巧妙构思。,123568024、毒蘑菇vn,,
S8,2013,G1,A1,,设计难而不乱的关卡，给人非常好的融入感，各种元素与浮桥的配合也很好。,shasdo,,
S9,2017,Q1,4B,,这关相当惊艳，是一个向STG致敬的LG6-2式关卡，玩家只能操作左右两键在探照灯的天罗地网中“擦弹”，寻得一线生机。,nmnmoooh,,
S10,2014,F,W,,“就冲这结局我给100分”,不知道是谁,,
S11,2017,Q1,3A,,R这一关在我看来，可以称为这一轮最体现主题“刺激”的一关。整关利用正弦探照灯追击马里奥，使整关的节奏从一开始就很紧张。关卡中部运用小跳、踩板栗等设计，加上结尾的浮桥设计，结合负引力，更加令人感到惊喜。,123458024,,
S12,2018,Q1,1B,迷失地牢II,以贯穿全关的龟壳为线索，以各种新老设计有机结合为特色，以深度探索改变为隐藏内容，带给游戏者比较成功的游戏体验。,天碧苑,,
S13,2014,Q,1B,隐喻,关卡结构独特而复杂，能充分利用地形特征布置敌人，并创造出了静止板栗仔这样富有特色的敌人。布局得当，静止板栗和一些古怪探照灯的出现，营造了一种神秘感。,nmnmoooh,,
H1,2013,P1,c4,,娱乐，我觉得这已经很好了，但中间几朵红花略有运气成分。有几处设计非常好，但中间可以钻空子。创新，本关的创新很多，经典成分也很多。,祝贺高考成功,,
H2,2015,G4,A1,,这关浓浓的vn风格。你问我vn风是啥？很简单啊，当然就是【没节操】啦~,bluesun0505,,
H3,2013,F,M,speed and wisdom,如果不是永硕抽风，冠军就是潜水艇的了。,不知道是谁,,
H4,2016,Q2,3B,,在对解密和高难设计已经产生了审美疲劳的我们来说，能愉悦地在一片自然和谐的大海中四处畅游，何尝不是一种美好的解脱？,nmnmoooh,,
H5,2016,S1,A,蓝山,"das这关自从昨天晚上被传到网盘里后相信已经刷新了不少MW制作者的三观……不只是我,我相信吧内很多吧友,选手也好,评委也好,都被这关所惊艳到了。",Fahlee,,
H6,2016,G1,A1,,这关在结构安排得当，通关路线设计巧妙，充分利用了关卡的空间，体现了作者极强的设计水平。关卡有一定难度而又不失娱乐性与挑战性。库巴战虽然可以说有少许的疏忽之处，但是创新很赞。总之这关为本届MW杯开了一个开头，希望选手们能学习das好榜样，做出更加优秀的关卡！,马里奥奥里马,,
H7,2019,G4,B1,,一个40格×30格左右的“小盒子关卡”，如何玩出花样？作者给我们的答案是：让它旋转起来！每进入一次水管，关卡就会“顺时针旋转”90度，然后从对应的水管出来，于是就又见一片新天地了。,nmnmoooh,,
H8,2018,G1,C1,忧虑,这关从难度上来讲主要都集中在初见杀。由于一开始对地形的不熟悉会导致通关的节奏被放慢。熟悉了以后稍微提升些速度，通关还是没有那么难的。,EX我爱幽灵,,
H9,2019,S,A,,这关运用了大量的拼砖设计，塑造了特别优美的意境，整体的感受也有置身之感。,s小s飞s侠s,,
H10,2014,F,M,跨越日光,我们在这最后一关可以看出作者信心满满，一定要拿到冠军。,马里奥奥里马,,
H11,2014,Q1,4A,自救,对于这种神关我已经不能用语言形容了，其实是一个很普通的向上关卡，但是由于有某神器在...所以这关显得很神。,毒蘑菇vn,,
H12,2013,S2,A,解放乌龟,这个关卡需要在适合的时候放出乌龟，让他变成龟壳清扫前方的敌人，然后再顶开隐藏砖让剩余的乌龟继续在上方行走……其实这些绿乌龟是马里奥的炸弹？,nmnmoooh,,
H13,2014,S,D,空城,对敌人的运用已经到了出神入化的地步！！用敌人做出了非常多的好设计！,LLX奶油马里奥,,
C1,2019,G4,C2,冰冻关卡,这关俨然一个20*15解谜，但并不是非常简陋。全关利用了滚屏和龟壳悬空，以及先天发育等设计，而且在20*15的空间内有机结合，可以说创新很独到，给人一种完全不同的感觉。,zqh——123,,
C2,2015,Q1,2A,,总之，这关是一个难度较大的非常引力水关，但玩起来感觉比较有意思，鱼类的搭配、布局很合理，可以说是一个不错的关卡。,zqh——123,,
C3,2013,F,W,最终圣地,吾虽欲砸键盘，然此关并不算坑爹，只要汝等细心前进小心为上，则此关乃浮云也，汝亦可沉浸于此关之乐也。,Fahlee,,
C4,2015,G2,A4,死寂,本关是一个典型的解密关。首先我们要到最上面吃到蘑菇，然后走完全程回到靠头的房间进入中间的水管，顶开砖头，再回来，分别走左/右边吃到补给然后到中间清理障碍。全关流程极长但是非常有趣！经过我一段一段的测试，证明这关也是可以通过的！！,祝贺高考成功,,
C5,2018,Q2,3A,,乐高世界是属于我想拿这个点子冲进扑克牌做的，如愿以偿了（,R大次郎,,
C6,2014,G2,D2,,这关可以说短小精悍，半程的路不长，但是挑战性极佳，也有很多很好玩很亮眼的设计，大赞这关！,马里奥奥里马,,
C7,2014,G2,D1,,其实这一关“来回”设计是通过“里世界”的设计实现的，不是“来回式”，不过这次“里世界”体现为金币与砖头的转换。,newlife2017,,
C8,2014,G1,D2,,这关的“做工”是全组乃至全部关卡中最好的，没有之一：微调探照灯与悬浮桥、尽可能防止出现漏洞、各种重叠，而且逻辑性非常强。,newlife2017,,
C9,2019,S,D,,参加全民健身，畅想快乐人生。大家好，今天是北京奥运 11 周年纪念日，我们一起来共同欣赏 xhy 制作的这一个倡导“更快，更高，更强”的关卡。,LLX奶油马里奥,,
C10,2019,F,M,,据116说，这不是一个关卡，而是一个游戏，这个smwl的模式非常有意思。,LLX奶油马里奥,,
C11,2019,Q,1B,劫难,所有的敌人和地形也是经过作者精心巧妙设计成的，让人拍手叫绝，在细节上表现得淋漓尽致。,毒蘑菇vn,,
C12,2016,Q2,3A,鬼打墙,这是一个典型的“视错觉”关卡，选手设计了两个大体上相同的关卡场景，巧妙地利用水管通道和固定移动桥给玩家制造自己在绕圈的“视错觉”，非常有趣。,nmnmoooh,,
C13,2019,P1,d1,遗迹,如果说The Cube是解密关卡的楷模，那么这关The Relic则是纯挑战关卡的典范。对这关我们不应该吝惜任何溢美之词。,123568024,,
D1,2013,G3,D1,,这关给我的印象很好，我很喜欢这关。用库巴战当作CP，这点非常不错！,123568024,,
D2,2019,S,C,,整体场面气势磅礴，宏伟壮观。是火山关的豪杰，基本无可挑剔。各种新奇的想法层出不穷，令人眼前一亮。关卡整体结构新颖，主题鲜明。,毒蘑菇vn,,
